Age (yrs BP),90-30N (°C),1σ uncertainty (°C)
-50,NaN,NaN
-30,NaN,NaN
-10,NaN,NaN
10,0.27,0.47
30,-1.66,0.43
50,-1.87,0.45
70,-1.48,0.45
90,-1.24,0.45
110,-0.99,0.44
130,-0.82,0.41
150,-0.89,0.39
170,-0.77,0.38
190,-0.69,0.37
210,-0.64,0.36
230,-0.57,0.36
250,-0.52,0.35
270,-0.43,0.35
290,-0.39,0.34
310,-0.37,0.34
330,-0.35,0.34
350,-0.35,0.34
370,-0.33,0.33
390,-0.34,0.34
410,-0.31,0.34
430,-0.35,0.35
450,-0.38,0.34
470,-0.35,0.34
490,-0.33,0.33
510,-0.43,0.33
530,-0.42,0.32
550,-0.37,0.32
570,-0.32,0.31
590,-0.29,0.31
610,-0.27,0.31
630,-0.24,0.30
650,-0.22,0.30
670,-0.23,0.30
690,-0.15,0.30
710,-0.18,0.30
730,-0.17,0.29
750,-0.16,0.29
770,-0.16,0.29
790,-0.16,0.29
810,-0.15,0.28
830,-0.15,0.28
850,-0.16,0.28
870,-0.17,0.29
890,-0.16,0.29
910,-0.15,0.29
930,-0.14,0.28
950,-0.14,0.28
970,-0.13,0.29
990,-0.10,0.29
1010,-0.06,0.29
1030,-0.04,0.28
1050,-0.03,0.28
1070,-0.01,0.28
1090,0.00,0.27
1110,0.00,0.27
1130,-0.01,0.27
1150,-0.01,0.27
1170,0.00,0.27
1190,0.02,0.27
1210,0.04,0.28
1230,0.05,0.28
1250,0.07,0.28
1270,0.08,0.28
1290,0.09,0.28
1310,0.10,0.28
1330,0.11,0.28
1350,0.13,0.28
1370,0.15,0.27
1390,0.16,0.28
1410,0.18,0.28
1430,0.19,0.28
1450,0.20,0.28
1470,0.21,0.28
1490,0.14,0.28
1510,0.15,0.29
1530,0.16,0.29
1550,0.15,0.31
1570,0.13,0.32
1590,0.10,0.32
1610,0.07,0.31
1630,0.05,0.30
1650,0.03,0.29
1670,0.02,0.29
1690,0.03,0.29
1710,0.04,0.29
1730,0.06,0.28
1750,0.07,0.28
1770,0.09,0.28
1790,0.10,0.28
1810,0.11,0.28
1830,0.12,0.28
1850,0.12,0.28
1870,0.12,0.28
1890,0.12,0.28
1910,0.12,0.28
1930,0.13,0.28
1950,0.14,0.28
1970,0.15,0.28
1990,0.16,0.28
2010,0.17,0.28
2030,0.18,0.28
2050,0.18,0.28
2070,0.19,0.28
2090,0.20,0.29
2110,0.21,0.29
2130,0.21,0.29
2150,0.22,0.29
2170,0.22,0.29
2190,0.22,0.29
2210,0.21,0.29
2230,0.20,0.28
2250,0.19,0.28
2270,0.19,0.28
2290,0.19,0.28
2310,0.21,0.28
2330,0.22,0.28
2350,0.23,0.28
2370,0.24,0.29
2390,0.25,0.28
2410,0.25,0.28
2430,0.25,0.28
2450,0.25,0.28
2470,0.24,0.28
2490,0.24,0.28
2510,0.23,0.29
2530,0.23,0.29
2550,0.22,0.30
2570,0.22,0.30
2590,0.22,0.29
2610,0.22,0.29
2630,0.22,0.29
2650,0.22,0.29
2670,0.22,0.28
2690,0.22,0.28
2710,0.21,0.28
2730,0.21,0.28
2750,0.22,0.28
2770,0.22,0.29
2790,0.22,0.29
2810,0.23,0.29
2830,0.23,0.29
2850,0.23,0.28
2870,0.23,0.28
2890,0.23,0.28
2910,0.22,0.28
2930,0.21,0.28
2950,0.20,0.28
2970,0.19,0.28
2990,0.18,0.28
3010,0.18,0.29
3030,0.17,0.29
3050,0.17,0.29
3070,0.17,0.30
3090,0.17,0.30
3110,0.18,0.30
3130,0.18,0.30
3150,0.18,0.30
3170,0.19,0.30
3190,0.19,0.30
3210,0.20,0.31
3230,0.21,0.31
3250,0.21,0.31
3270,0.22,0.31
3290,0.24,0.31
3310,0.26,0.31
3330,0.28,0.31
3350,0.28,0.31
3370,0.27,0.31
3390,0.26,0.31
3410,0.25,0.31
3430,0.24,0.31
3450,0.23,0.31
3470,0.21,0.31
3490,0.20,0.31
3510,0.20,0.30
3530,0.19,0.30
3550,0.19,0.30
3570,0.19,0.31
3590,0.20,0.31
3610,0.22,0.30
3630,0.24,0.30
3650,0.26,0.30
3670,0.28,0.30
3690,0.30,0.29
3710,0.31,0.29
3730,0.33,0.29
3750,0.34,0.29
3770,0.36,0.29
3790,0.36,0.29
3810,0.37,0.29
3830,0.38,0.29
3850,0.39,0.29
3870,0.39,0.29
3890,0.40,0.29
3910,0.42,0.29
3930,0.43,0.29
3950,0.44,0.29
3970,0.45,0.29
3990,0.46,0.29
4010,0.48,0.30
4030,0.49,0.29
4050,0.51,0.29
4070,0.52,0.29
4090,0.53,0.29
4110,0.54,0.29
4130,0.56,0.29
4150,0.57,0.29
4170,0.58,0.29
4190,0.58,0.29
4210,0.59,0.29
4230,0.59,0.28
4250,0.60,0.29
4270,0.61,0.28
4290,0.62,0.28
4310,0.62,0.28
4330,0.63,0.28
4350,0.64,0.28
4370,0.65,0.28
4390,0.65,0.27
4410,0.66,0.26
4430,0.66,0.26
4450,0.65,0.25
4470,0.64,0.25
4490,0.63,0.25
4510,0.62,0.25
4530,0.62,0.24
4550,0.61,0.24
4570,0.60,0.23
4590,0.59,0.23
4610,0.58,0.23
4630,0.58,0.23
4650,0.57,0.23
4670,0.57,0.23
4690,0.57,0.23
4710,0.57,0.23
4730,0.56,0.23
4750,0.57,0.23
4770,0.57,0.23
4790,0.57,0.23
4810,0.57,0.23
4830,0.58,0.24
4850,0.58,0.23
4870,0.58,0.23
4890,0.58,0.23
4910,0.58,0.23
4930,0.58,0.23
4950,0.58,0.23
4970,0.59,0.23
4990,0.59,0.23
5010,0.60,0.23
5030,0.61,0.23
5050,0.63,0.23
5070,0.64,0.23
5090,0.65,0.23
5110,0.66,0.23
5130,0.67,0.24
5150,0.68,0.24
5170,0.69,0.24
5190,0.71,0.23
5210,0.72,0.24
5230,0.72,0.24
5250,0.73,0.24
5270,0.73,0.24
5290,0.73,0.24
5310,0.72,0.24
5330,0.72,0.25
5350,0.72,0.25
5370,0.72,0.25
5390,0.72,0.25
5410,0.71,0.25
5430,0.71,0.26
5450,0.71,0.27
5470,0.71,0.28
5490,0.71,0.28
5510,0.71,0.29
5530,0.72,0.29
5550,0.72,0.29
5570,0.73,0.29
5590,0.74,0.29
5610,0.75,0.29
5630,0.76,0.30
5650,0.78,0.30
5670,0.79,0.30
5690,0.80,0.31
5710,0.81,0.31
5730,0.81,0.30
5750,0.82,0.30
5770,0.83,0.31
5790,0.83,0.31
5810,0.82,0.31
5830,0.81,0.31
5850,0.80,0.31
5870,0.79,0.30
5890,0.79,0.30
5910,0.79,0.30
5930,0.79,0.30
5950,0.79,0.30
5970,0.78,0.30
5990,0.79,0.29
6010,0.80,0.29
6030,0.81,0.30
6050,0.83,0.30
6070,0.84,0.30
6090,0.85,0.30
6110,0.85,0.30
6130,0.86,0.29
6150,0.86,0.29
6170,0.86,0.30
6190,0.86,0.29
6210,0.86,0.30
6230,0.86,0.30
6250,0.86,0.29
6270,0.86,0.29
6290,0.86,0.29
6310,0.86,0.29
6330,0.85,0.28
6350,0.85,0.28
6370,0.85,0.28
6390,0.85,0.28
6410,0.84,0.28
6430,0.84,0.28
6450,0.85,0.28
6470,0.86,0.28
6490,0.87,0.28
6510,0.88,0.29
6530,0.89,0.29
6550,0.90,0.29
6570,0.91,0.29
6590,0.92,0.29
6610,0.93,0.29
6630,0.93,0.29
6650,0.94,0.29
6670,0.95,0.29
6690,0.96,0.29
6710,0.97,0.29
6730,0.97,0.29
6750,0.97,0.28
6770,0.98,0.28
6790,0.99,0.29
6810,1.01,0.29
6830,1.02,0.29
6850,1.04,0.29
6870,1.06,0.29
6890,1.08,0.29
6910,1.10,0.30
6930,1.11,0.30
6950,1.12,0.30
6970,1.13,0.30
6990,1.14,0.30
7010,1.14,0.30
7030,1.14,0.30
7050,1.13,0.30
7070,1.12,0.30
7090,1.11,0.30
7110,1.10,0.30
7130,1.08,0.30
7150,1.07,0.29
7170,1.06,0.29
7190,1.05,0.29
7210,1.04,0.29
7230,1.03,0.29
7250,1.02,0.29
7270,1.02,0.29
7290,1.01,0.29
7310,1.00,0.30
7330,0.99,0.30
7350,0.97,0.31
7370,0.96,0.31
7390,0.95,0.31
7410,0.96,0.31
7430,0.96,0.32
7450,0.96,0.32
7470,0.97,0.32
7490,0.99,0.33
7510,1.00,0.33
7530,1.02,0.33
7550,1.03,0.32
7570,1.05,0.32
7590,1.06,0.32
7610,1.07,0.32
7630,1.06,0.32
7650,1.06,0.32
7670,1.04,0.32
7690,1.03,0.32
7710,1.02,0.31
7730,1.01,0.31
7750,0.99,0.31
7770,0.98,0.31
7790,0.98,0.31
7810,0.98,0.31
7830,0.97,0.31
7850,0.97,0.32
7870,0.97,0.32
7890,0.97,0.32
7910,0.96,0.32
7930,0.96,0.32
7950,0.96,0.32
7970,0.96,0.32
7990,0.95,0.32
8010,0.95,0.32
8030,0.95,0.32
8050,0.95,0.32
8070,0.94,0.32
8090,0.93,0.32
8110,0.91,0.31
8130,0.88,0.31
8150,0.85,0.31
8170,0.83,0.31
8190,0.83,0.31
8210,0.82,0.31
8230,0.81,0.30
8250,0.79,0.31
8270,0.77,0.31
8290,0.77,0.31
8310,0.78,0.31
8330,0.79,0.31
8350,0.81,0.31
8370,0.82,0.31
8390,0.82,0.31
8410,0.82,0.31
8430,0.81,0.31
8450,0.81,0.30
8470,0.82,0.30
8490,0.83,0.30
8510,0.85,0.30
8530,0.86,0.30
8550,0.88,0.30
8570,0.90,0.31
8590,0.91,0.31
8610,0.92,0.31
8630,0.93,0.31
8650,0.93,0.31
8670,0.93,0.31
8690,0.93,0.31
8710,0.93,0.31
8730,0.93,0.31
8750,0.93,0.31
8770,0.93,0.31
8790,0.92,0.32
8810,0.92,0.32
8830,0.92,0.32
8850,0.92,0.32
8870,0.92,0.32
8890,0.92,0.33
8910,0.92,0.33
8930,0.92,0.33
8950,0.92,0.32
8970,0.91,0.33
8990,0.89,0.33
9010,0.88,0.33
9030,0.86,0.32
9050,0.86,0.32
9070,0.85,0.33
9090,0.84,0.34
9110,0.84,0.35
9130,0.84,0.35
9150,0.84,0.36
9170,0.84,0.37
9190,0.83,0.37
9210,0.84,0.38
9230,0.85,0.39
9250,0.86,0.38
9270,0.87,0.38
9290,0.88,0.38
9310,0.89,0.37
9330,0.90,0.36
9350,0.92,0.35
9370,0.93,0.34
9390,0.96,0.34
9410,0.98,0.33
9430,1.00,0.32
9450,1.01,0.32
9470,1.02,0.32
9490,1.03,0.32
9510,1.04,0.32
9530,1.04,0.32
9550,1.04,0.32
9570,1.04,0.32
9590,1.04,0.32
9610,1.04,0.32
9630,1.04,0.33
9650,1.04,0.33
9670,1.04,0.32
9690,1.03,0.32
9710,1.02,0.32
9730,1.00,0.32
9750,0.98,0.31
9770,0.97,0.31
9790,0.94,0.32
9810,0.93,0.31
9830,0.92,0.31
9850,0.92,0.31
9870,0.91,0.31
9890,0.90,0.32
9910,0.90,0.32
9930,0.89,0.31
9950,0.89,0.31
9970,0.87,0.30
9990,0.86,0.31
10010,0.85,0.31
10030,0.83,0.31
10050,0.80,0.31
10070,0.75,0.31
10090,0.73,0.31
10110,0.74,0.31
10130,0.72,0.31
10150,0.72,0.31
Age (yrs BP),90-30N (°C),1σ uncertainty (°C)
10170,NaN,NaN
10190,NaN,NaN
10210,NaN,NaN
10230,1.24,0.31
10250,1.25,0.31
10270,1.25,0.31
10290,1.25,0.31
10310,1.25,0.31
10330,1.26,0.31
10350,1.26,0.31
10370,1.26,0.31
10390,1.27,0.31
10410,1.27,0.31
10430,1.27,0.31
10450,1.27,0.31
10470,1.28,0.31
10490,1.28,0.31
10510,1.28,0.31
10530,1.29,0.31
10550,1.29,0.31
10570,1.29,0.31
10590,1.29,0.31
10610,1.30,0.31
10630,1.30,0.31
10650,1.30,0.31
10670,1.31,0.31
10690,1.31,0.31
10710,1.31,0.31
10730,1.31,0.31
10750,1.32,0.31
10770,1.32,0.31
10790,1.32,0.31
10810,1.33,0.31
10830,1.33,0.31
10850,1.33,0.31
10870,1.33,0.31
10890,1.34,0.31
10910,1.34,0.31
10930,1.34,0.31
10950,1.34,0.31
10970,1.35,0.31
10990,1.35,0.31
11010,1.35,0.31
11030,1.36,0.31
11050,1.36,0.31
11070,1.36,0.31
11090,1.36,0.31
11110,1.37,0.31
11130,1.37,0.31
11150,1.37,0.31
11170,1.38,0.31
11190,1.38,0.31
11210,1.38,0.31
11230,1.38,0.31
11250,1.39,0.31
11270,1.39,0.31